"DEBUG","2021-07-14 02:55:12.350948","Function av_import_sma called with args:('SPCE',){}"
"ERROR","2021-07-14 02:55:13.208388","Couldn't save the parquet file: Unable to find a usable engine; tried using: 'pyarrow', 'fastparquet'.
A suitable version of pyarrow or fastparquet is required for parquet support.
Trying to import the above resulted in these errors:
 - Missing optional dependency 'pyarrow'. pyarrow is required for parquet support. Use pip or conda to install pyarrow.
 - Missing optional dependency 'fastparquet'. fastparquet is required for parquet support. Use pip or conda to install fastparquet."
"DEBUG","2021-07-14 02:55:13.209386","Function av_import_sma call ended with status 'False' and run time: 0.8578687 seconds"
